loan_id,borrower_id,current_balance,interest_rate,payment_status,last_payment_date,last_updated_at,servicer_name
LN-00626,BR-00626,21687.3,9.49,DELINQUENT,2026-06-22,2025-01-08,NorthStar Servicing
LN-01299,BR-01299,12765.12,11.19,CURRENT,2022-07-15,2025-05-20,BlueRiver Finance
LN-01272,BR-01272,44698.65,12.27,CURRENT,2021-05-08,2026-07-20,Cedar Capital
LN-00587,BR-00587,19090.37,16.22,DELINQUENT,2026-05-21,2026-06-15,Apex Loan Services
LN-00748,BR-00748,119077.73,6.1,CURRENT,2020-07-27,2025-11-22,Cedar Capital
LN-01314,BR-01314,7978.56,21.76,CURRENT,2025-10-11,2026-02-07,Cedar Capital
LN-01727,BR-00127,667.82,16.18,DELINQUENT,2025-12-13,2025-11-04,Apex Loan Services
LN-00266,BR-00266,561.71,16.21,CURRENT,2026-07-09,2026-04-02,Cedar Capital
LN-01778,BR-00178,6352.31,18.7,DELINQUENT,2026-03-22,2026-06-07,Cedar Capital
LN-00051,BR-00051,8578.43,20.19,CURRENT,2024-05-17,2025-05-29,BlueRiver Finance
LN-00409,BR-00409,12748.99,17.68,CURRENT,2024-07-16,2025-01-15,NorthStar Servicing
LN-01734,BR-00134,,13.35,DEFAULT,2026-02-23,2025-07-27,Apex Loan Services
LN-01310,BR-01310,7312.75,21.66,CURRENT,2024-07-19,2025-11-13,NorthStar Servicing
LN-01862,BR-00262,9124.72,16.52,DEFAULT,2026-06-05,2026-07-23,BlueRiver Finance
LN-00474,BR-00474,25419.36,16.27,CURRENT,2025-06-29,2025-10-06,NorthStar Servicing
LN-00330,BR-00330,2541.86,9.41,DEFAULT,2026-06-28,2024-08-06,NorthStar Servicing
LN-00046,BR-00046,1758.29,7.41,DEFAULT,2025-11-20,2026-06-19,Apex Loan Services
LN-00888,BR-00888,5189.09,15.39,CURRENT,2020-11-03,2025-07-05,Apex Loan Services
LN-01312,BR-01312,2506.66,5.42,CURRENT,2024-03-08,2026-06-30,NorthStar Servicing
LN-01975,BR-00375,54858.26,6.77,DELINQUENT,2023-01-25,2026-07-31,Apex Loan Services
LN-00100,BR-00100,71801.09,13.65,DELINQUENT,2026-08-01,2023-01-15,NorthStar Servicing
LN-00995,BR-00995,47849.52,17.46,CURRENT,2026-06-11,2025-09-14,Apex Loan Services
LN-00498,BR-00498,,10.07,CURRENT,2026-02-14,2026-05-16,NorthStar Servicing
LN-00259,BR-00259,219780.15,21.47,DELINQUENT,2025-05-22,2026-04-11,Cedar Capital
LN-01211,BR-01211,6.87,20.04,CURRENT,2025-09-03,2026-04-30,Cedar Capital
LN-01077,BR-01077,,7.18,DEFAULT,2025-06-01,2025-03-03,BlueRiver Finance
LN-01999,BR-00399,8844.76,11.93,CURRENT,2022-08-17,2025-12-17,Apex Loan Services
LN-01028,BR-01028,93511.06,8.68,CURRENT,2026-01-13,2026-05-02,NorthStar Servicing
LN-00032,BR-00002,40121.79,13.98,CURRENT,2024-03-19,2024-12-11,Cedar Capital
LN-01065,BR-01065,57420.02,12.45,CLOSED,2025-07-04,2026-07-16,BlueRiver Finance
LN-01647,BR-00047,116209.46,14.77,CURRENT,2026-01-26,2026-05-10,Apex Loan Services
LN-00823,BR-00823,158343.71,15.26,CURRENT,2026-07-17,2026-08-16,Cedar Capital
LN-01436,BR-01436,40084.73,8.47,CURRENT,2026-06-02,2026-07-25,Cedar Capital
LN-00998,BR-00998,119847.68,12.36,CURRENT,2025-02-27,2025-03-06,Cedar Capital
LN-01057,BR-01057,42567.63,20.28,CURRENT,2024-06-07,2025-08-03,NorthStar Servicing
LN-00173,BR-00173,8129.3,16.88,CURRENT,2021-06-26,2025-02-23,NorthStar Servicing
LN-01670,BR-00070,144757.7,8.57,DEFAULT,2020-09-01,2026-02-01,Cedar Capital
LN-01749,BR-00149,5186.32,18.52,DEFAULT,2020-07-31,2025-09-06,BlueRiver Finance
LN-00232,BR-00232,67516.83,14.87,DEFAULT,2023-03-24,2024-08-02,Cedar Capital
LN-01884,BR-00284,127753.86,5.14,CURRENT,2019-10-04,2026-05-14,Cedar Capital
LN-01812,BR-00212,1132.14,13.19,CURRENT,2024-05-16,2026-01-29,NorthStar Servicing
LN-01282,BR-01282,430780.51,16.56,DELINQUENT,2026-03-27,2025-09-06,Cedar Capital
LN-01045,BR-01045,15612.64,6.07,CURRENT,2026-03-28,2024-04-11,Apex Loan Services
LN-01359,BR-01359,17804.9,7.0,CURRENT,2026-03-16,2026-02-17,Cedar Capital
LN-00967,BR-00967,1240.57,6.15,DEFAULT,2025-10-05,2025-10-15,Cedar Capital
LN-00839,BR-00839,81874.04,16.39,DELINQUENT,2024-12-01,2025-08-26,Apex Loan Services
LN-00682,BR-00682,0,21.25,DELINQUENT,2025-02-02,2025-10-20,Apex Loan Services
LN-00921,BR-00921,29767.76,17.65,CURRENT,2023-12-08,2025-06-09,Apex Loan Services
LN-01562,BR-01562,4556.39,4.6,CURRENT,2025-04-14,2026-06-30,Cedar Capital
LN-01803,BR-00203,576.88,11.51,CURRENT,2025-08-29,2025-03-03,BlueRiver Finance
LN-01987,BR-00387,,19.91,DEFAULT,2025-04-28,2025-04-20,NorthStar Servicing
LN-00526,BR-00526,11346.05,4.9,CURRENT,2023-10-07,2024-08-28,Apex Loan Services
LN-00198,BR-00198,47568.24,21.26,CURRENT,2022-10-27,2025-04-13,BlueRiver Finance
LN-01573,BR-01573,1575.93,9.08,CURRENT,2025-02-27,2025-03-16,Cedar Capital
LN-01917,BR-00317,1062.29,18.88,CURRENT,2024-02-15,2024-01-16,NorthStar Servicing
LN-01167,BR-01167,21222.24,20.83,DELINQUENT,2026-07-05,2026-05-17,BlueRiver Finance
LN-01095,BR-01095,0,18.01,CLOSED,2023-09-07,2026-04-08,NorthStar Servicing
LN-01800,BR-00200,,9.28,CURRENT,2024-03-02,2026-06-07,Cedar Capital
LN-00038,BR-00038,1555.94,7.79,CURRENT,2022-01-15,2025-08-08,NorthStar Servicing
LN-00421,BR-00421,42892.99,14.16,CURRENT,2026-06-20,2025-11-05,Cedar Capital
LN-00723,BR-00723,41439.83,17.4,CURRENT,2025-06-01,2025-04-13,Cedar Capital
LN-00679,BR-00679,3543.88,19.85,CLOSED,2022-05-18,2025-04-26,NorthStar Servicing
LN-00997,BR-00997,56019.35,14.49,CURRENT,2023-09-29,2025-09-05,BlueRiver Finance
LN-00458,BR-00458,,7.89,DELINQUENT,2026-07-15,2026-02-24,Cedar Capital
LN-00868,BR-00868,32047.34,18.34,CURRENT,2022-08-29,2025-08-08,BlueRiver Finance
LN-01219,BR-01219,95304.61,14.03,CURRENT,2025-06-16,2026-08-17,Cedar Capital
LN-01880,BR-00280,18767.85,9.16,CURRENT,2022-09-05,2025-02-12,BlueRiver Finance
LN-01187,BR-01187,35239.84,10.69,DEFAULT,2024-12-17,2026-07-14,BlueRiver Finance
LN-00703,BR-00703,,21.18,DELINQUENT,2022-08-04,2025-09-26,NorthStar Servicing
LN-01855,BR-00255,12126.4,5.38,CURRENT,2025-12-31,2025-09-11,Apex Loan Services
LN-00230,BR-00231,92071.52,17.57,CLOSED,2025-02-01,2026-06-09,Cedar Capital
LN-00504,BR-00504,1534.49,11.55,CURRENT,2022-08-18,2026-04-23,BlueRiver Finance
LN-01951,BR-00351,8996.6,10.18,CURRENT,2025-05-22,2026-01-04,BlueRiver Finance
LN-01273,BR-01273,473018.6,20.28,DEFAULT,2023-08-03,2025-02-21,Apex Loan Services
LN-01886,BR-00286,80250.36,4.64,CURRENT,2025-11-20,2025-03-05,Apex Loan Services
LN-00996,BR-00996,371519.81,6.08,CURRENT,2024-11-28,2025-03-24,BlueRiver Finance
LN-01973,BR-00373,4933.45,17.93,DEFAULT,2023-08-26,2025-01-17,BlueRiver Finance
LN-00704,BR-00704,51689.38,21.03,DEFAULT,2026-05-26,2026-04-09,Apex Loan Services
LN-01245,BR-01245,15503.97,5.61,DEFAULT,2024-12-26,2026-03-21,Cedar Capital
LN-01205,BR-01205,50964.73,16.92,CURRENT,2022-11-29,2026-08-07,BlueRiver Finance
LN-00210,BR-00210,79750.15,15.1,CURRENT,2024-02-01,2025-02-16,Cedar Capital
LN-01412,BR-01412,3039.88,10.71,CURRENT,2024-10-03,2025-12-28,Cedar Capital
LN-01375,BR-01375,2732.13,15.65,CURRENT,2022-05-02,2025-04-16,Apex Loan Services
LN-01866,BR-00266,48363.6,18.87,DELINQUENT,2023-11-16,2026-04-03,Apex Loan Services
LN-00243,BR-00243,57698.41,10.5,CURRENT,2024-02-07,2025-06-17,Apex Loan Services
LN-01102,BR-01102,728.47,7.4,DEFAULT,2023-08-23,2026-06-13,NorthStar Servicing
LN-00968,BR-00968,33744.97,13.06,DELINQUENT,2024-03-07,2026-07-12,Apex Loan Services
LN-00246,BR-00246,64391.68,21.76,CURRENT,2023-07-02,2026-05-15,BlueRiver Finance
LN-00389,BR-00389,465321.22,17.84,CURRENT,2022-07-16,2025-10-02,NorthStar Servicing
LN-01922,BR-00322,0,21.28,CLOSED,2025-07-16,2025-05-12,NorthStar Servicing
LN-01120,BR-01120,,21.02,CURRENT,2025-01-09,2025-05-16,BlueRiver Finance
LN-01376,BR-01376,,11.73,CURRENT,2025-12-16,2026-01-26,NorthStar Servicing
LN-01851,BR-00251,11112.41,16.81,CURRENT,2026-03-08,2025-03-30,Apex Loan Services
LN-00222,BR-00222,2116.17,16.84,CURRENT,2025-04-20,2026-02-14,BlueRiver Finance
LN-01673,BR-00073,125190.45,4.89,CURRENT,2026-04-20,2026-03-18,Cedar Capital
LN-00830,BR-00830,31642.81,16.06,CURRENT,2025-10-03,2025-08-12,BlueRiver Finance
LN-00307,BR-00306,,9.5,CURRENT,2026-05-23,2024-09-27,Cedar Capital
LN-00062,BR-00062,-25312.52,7.42,CURRENT,2025-09-14,2025-03-13,BlueRiver Finance
LN-00886,BR-00886,183111.88,9.22,CURRENT,2025-01-15,2025-12-13,NorthStar Servicing
LN-01853,BR-00253,0,13.03,CLOSED,2024-08-03,2025-01-05,Cedar Capital
LN-01608,BR-00008,3727.43,12.07,CURRENT,2023-07-17,2026-07-13,BlueRiver Finance
LN-00771,BR-00771,32409.1,13.03,CURRENT,2023-11-23,2026-05-19,NorthStar Servicing
LN-01501,BR-01501,11570.5,11.42,CURRENT,2023-11-21,2026-03-08,BlueRiver Finance
LN-01863,BR-00263,17357.36,9.21,DELINQUENT,2026-02-11,2026-03-08,NorthStar Servicing
LN-00938,BR-00938,483058.0,6.69,DELINQUENT,2025-11-26,2025-05-06,Apex Loan Services
LN-00824,BR-00824,151734.7,9.65,DEFAULT,2026-07-30,2025-09-15,Cedar Capital
LN-00028,BR-00002,,9.12,CURRENT,2021-10-12,2025-08-20,Cedar Capital
LN-00496,BR-00496,,9.13,DEFAULT,2025-09-24,2025-02-07,Cedar Capital
LN-01179,BR-01179,49185.54,11.97,CURRENT,2025-02-14,2024-11-30,BlueRiver Finance
LN-01481,BR-01481,61830.46,15.1,CURRENT,2024-12-07,2026-05-21,Cedar Capital
LN-01599,BR-01599,,6.01,CURRENT,2025-11-08,2024-04-15,Cedar Capital
LN-00510,BR-00510,8865.98,5.59,CURRENT,2025-04-20,2025-12-16,Apex Loan Services
LN-01138,BR-01138,21918.61,8.33,DELINQUENT,2026-01-26,2026-03-02,BlueRiver Finance
LN-00917,BR-00917,127970.04,14.42,CURRENT,2024-12-23,2025-11-26,BlueRiver Finance
LN-00782,BR-00782,112675.73,6.73,CURRENT,2024-07-29,2025-12-17,BlueRiver Finance
LN-01681,BR-00081,0,7.91,CLOSED,2024-03-21,2025-05-30,Apex Loan Services
LN-01510,BR-01510,3152.21,15.2,CURRENT,2026-06-06,2026-07-04,Cedar Capital
LN-00417,BR-00417,,7.53,CURRENT,2023-09-24,2025-07-05,Cedar Capital
LN-01576,BR-01576,,16.6,CURRENT,2025-08-01,2026-02-16,Cedar Capital
LN-00056,BR-00056,40465.88,14.14,DELINQUENT,2024-10-28,2024-03-09,NorthStar Servicing
LN-01162,BR-01162,303542.7,9.55,DELINQUENT,2023-05-08,2026-06-19,Cedar Capital
LN-01860,BR-00260,0,19.27,CLOSED,2023-08-27,2025-12-12,NorthStar Servicing
LN-01601,BR-00001,51783.5,20.96,CURRENT,2026-03-17,2025-09-22,BlueRiver Finance
LN-00143,BR-00143,,9.64,CLOSED,2024-07-30,2025-06-07,BlueRiver Finance
LN-00969,BR-00969,40499.0,20.44,DELINQUENT,2023-08-16,2025-01-13,NorthStar Servicing
LN-01052,BR-01052,6849.49,9.88,CURRENT,2024-07-28,2025-02-13,BlueRiver Finance
LN-01726,BR-00126,2973.82,9.26,DELINQUENT,2025-01-12,2026-06-04,NorthStar Servicing
LN-00942,BR-00942,0,20.02,CURRENT,2024-04-19,2025-06-11,NorthStar Servicing
LN-00739,BR-00739,93794.48,20.01,CURRENT,2025-10-04,2025-08-29,BlueRiver Finance
LN-00773,BR-00773,0,19.7,CLOSED,2025-03-16,2025-09-19,NorthStar Servicing
LN-01271,BR-01271,0,18.83,DELINQUENT,2026-05-20,2025-10-17,Apex Loan Services
LN-00341,BR-00341,31.68,10.19,CURRENT,2024-02-28,2026-05-21,Cedar Capital
LN-01009,BR-01009,5557.1,16.27,DELINQUENT,2025-11-19,2025-10-12,Cedar Capital
LN-00836,BR-00836,2354.1,7.82,DELINQUENT,2025-05-13,2025-12-01,BlueRiver Finance
LN-00202,BR-00203,425981.03,9.68,CURRENT,2025-06-09,2025-03-05,NorthStar Servicing
LN-00059,BR-00059,-1283.51,21.99,DELINQUENT,2026-04-18,2026-02-14,Cedar Capital
LN-00900,BR-00900,3743.4,15.86,DELINQUENT,2025-12-18,2025-12-12,BlueRiver Finance
LN-00542,BR-00542,72767.12,4.9,DELINQUENT,2024-09-14,2025-12-24,BlueRiver Finance
LN-01078,BR-01078,5829.71,7.56,DELINQUENT,2022-11-23,2025-04-23,Cedar Capital
LN-01453,BR-01453,218908.48,12.11,CURRENT,2026-04-20,2025-06-19,NorthStar Servicing
LN-01189,BR-01189,26801.82,16.35,CURRENT,2025-12-26,2025-05-05,Apex Loan Services
LN-01399,BR-01399,2554.51,20.05,DEFAULT,2024-04-22,2025-02-06,Apex Loan Services
LN-01918,BR-00318,,16.43,CURRENT,2025-10-05,2025-12-25,Cedar Capital
LN-00134,BR-00134,1381.02,17.01,CURRENT,2025-10-30,2026-04-28,Apex Loan Services
LN-01632,BR-00032,1427.61,6.9,DELINQUENT,2024-08-24,2024-12-21,BlueRiver Finance
LN-00724,BR-00724,17759.67,13.18,CURRENT,2026-01-02,2026-03-29,Cedar Capital
LN-01419,BR-01419,84416.2,20.36,CURRENT,2024-04-22,2025-09-13,BlueRiver Finance
LN-01327,BR-01327,,20.43,CURRENT,2024-04-24,2025-08-17,NorthStar Servicing
LN-01939,BR-00339,47583.81,5.74,DEFAULT,2026-03-03,2025-06-22,BlueRiver Finance
LN-00622,BR-00622,35620.06,21.05,DELINQUENT,2025-09-06,2025-06-18,Cedar Capital
LN-01977,BR-00377,42504.38,5.22,CURRENT,2023-08-03,2025-06-19,Cedar Capital
LN-01567,BR-01567,51997.82,8.88,CURRENT,2025-03-29,2024-07-29,NorthStar Servicing
LN-01915,BR-00315,17426.5,6.24,CURRENT,2026-04-02,2025-09-20,Apex Loan Services
LN-01750,BR-00150,,7.42,CURRENT,2025-10-16,2025-02-27,Cedar Capital
LN-00500,BR-00500,16376.02,18.53,CURRENT,2021-08-21,2024-03-27,Cedar Capital
LN-00186,BR-00186,516.73,13.18,CURRENT,2026-07-27,2025-09-03,BlueRiver Finance
LN-01885,BR-00285,0,10.17,CLOSED,2026-04-24,2026-07-08,Cedar Capital
LN-01215,BR-01215,,8.27,DELINQUENT,2022-08-03,2025-08-04,NorthStar Servicing
LN-00128,BR-00128,25000,14.23,CLOSED,2022-10-14,2025-04-18,BlueRiver Finance
LN-00515,BR-00515,19572.78,15.17,DELINQUENT,2026-03-24,2025-03-13,BlueRiver Finance
LN-01395,BR-01395,1976.14,14.56,DEFAULT,2020-07-21,2026-05-18,Cedar Capital
LN-01329,BR-01329,11977.0,9.86,CURRENT,2026-02-21,2025-10-26,NorthStar Servicing
,BR-00011,31682.32,19.13,CURRENT,2026-02-06,2026-02-22,BlueRiver Finance
LN-01280,BR-01280,19923.69,21.84,CURRENT,2023-09-18,2025-04-01,BlueRiver Finance
LN-01590,BR-01590,100940.33,8.75,CURRENT,2025-10-19,2025-12-23,BlueRiver Finance
LN-01774,BR-00174,,9.56,CURRENT,2026-04-02,2024-10-26,Apex Loan Services
LN-01264,BR-01264,1015.41,3.32,DELINQUENT,2025-01-09,2025-01-11,BlueRiver Finance
LN-00001,BR-00022,73960.71,13.08,CURRENT,2025-04-01,2026-03-08,Cedar Capital
LN-00413,BR-00413,,13.77,CLOSED,2025-10-25,2025-12-23,Cedar Capital
LN-00098,BR-00098,41959.01,7.23,DELINQUENT,2021-10-21,2026-01-09,Apex Loan Services
LN-00298,BR-00298,98927.61,15.74,CURRENT,2026-02-03,2026-02-23,NorthStar Servicing
LN-00850,BR-00850,37058.39,12.57,DELINQUENT,2025-05-08,2025-10-26,BlueRiver Finance
LN-00583,BR-00583,17930.4,17.04,CURRENT,2026-07-21,2026-05-20,BlueRiver Finance
LN-00907,BR-00907,106639.46,20.69,CURRENT,2024-11-15,2026-03-11,BlueRiver Finance
LN-01937,BR-00337,9300.25,11.98,CURRENT,2022-01-30,2025-08-12,BlueRiver Finance
LN-01645,BR-00045,87990.5,6.08,CLOSED,2020-07-08,2026-06-20,Cedar Capital
LN-01012,BR-01012,3745.97,21.03,CURRENT,2023-03-15,2026-02-17,Apex Loan Services
LN-01071,BR-01071,65562.55,14.5,DELINQUENT,2025-12-30,2026-07-06,Cedar Capital
LN-01497,BR-01497,72457.21,10.44,CURRENT,2023-01-29,2025-10-26,BlueRiver Finance
LN-01365,BR-01365,14463.94,8.27,DEFAULT,2025-02-05,2025-07-25,BlueRiver Finance
LN-01536,BR-01536,122723.24,12.89,CURRENT,2021-07-08,2025-04-09,Apex Loan Services
LN-01899,BR-00299,0,8.71,CLOSED,2026-06-20,2026-03-20,BlueRiver Finance
LN-00138,BR-00138,9458.73,15.44,CURRENT,2025-07-31,2026-04-08,Cedar Capital
LN-00309,BR-00308,4882.33,12.71,DEFAULT,2024-12-20,2026-01-07,BlueRiver Finance
LN-01174,BR-01174,24256.0,8.85,CURRENT,2023-12-06,2026-05-27,NorthStar Servicing
LN-00076,BR-00076,,125.0,CURRENT,2026-02-03,2025-03-08,NorthStar Servicing
LN-01122,BR-01122,0,9.85,DELINQUENT,2022-01-19,2025-05-16,NorthStar Servicing
LN-01484,BR-01484,,10.97,CURRENT,2026-01-03,2026-02-02,BlueRiver Finance
LN-01797,BR-00197,179705.0,15.09,CURRENT,2026-07-20,2025-11-01,BlueRiver Finance
LN-00447,BR-00447,132973.35,16.2,CURRENT,2021-05-24,2025-01-08,Apex Loan Services
LN-01935,BR-00335,9968.07,6.74,CURRENT,2024-11-29,2025-08-10,Apex Loan Services
LN-01554,BR-01554,19945.34,6.47,CURRENT,2025-11-05,2026-03-25,BlueRiver Finance
LN-00071,BR-00071,255000,20.51,CURRENT,2022-11-26,2025-01-18,Cedar Capital
LN-01441,BR-01441,6286.33,5.31,DELINQUENT,2026-02-20,2026-02-23,Cedar Capital
LN-00493,BR-00493,,12.35,CURRENT,2026-06-19,2025-06-14,NorthStar Servicing
LN-01075,BR-01075,43305.0,7.55,CURRENT,2025-09-05,2026-08-03,NorthStar Servicing
LN-00425,BR-00425,,13.95,CURRENT,2026-03-13,2026-01-19,NorthStar Servicing
LN-01519,BR-01519,0,18.13,CLOSED,2026-04-21,2025-07-14,BlueRiver Finance
LN-01924,BR-00324,,14.39,CURRENT,2025-04-05,2025-07-20,BlueRiver Finance
LN-01807,BR-00207,254171.44,8.39,CURRENT,2025-10-10,2026-02-02,Apex Loan Services
LN-01964,BR-00364,68127.19,17.41,CURRENT,2024-02-26,2026-01-18,NorthStar Servicing
LN-01914,BR-00314,60930.03,15.47,DELINQUENT,2026-01-15,2026-02-27,Cedar Capital
LN-01396,BR-01396,11647.57,20.95,CURRENT,2025-12-11,2026-07-10,Apex Loan Services
LN-01255,BR-01255,36832.25,7.53,CURRENT,2021-04-14,2025-03-18,BlueRiver Finance
LN-01747,BR-00147,35365.04,8.34,DELINQUENT,2026-01-27,2025-06-18,BlueRiver Finance
LN-01908,BR-00308,21607.59,19.82,CURRENT,2026-03-17,2026-01-02,BlueRiver Finance
LN-00540,BR-00540,35273.95,14.0,CURRENT,2024-07-08,2025-06-11,Apex Loan Services
LN-01017,BR-01017,96638.6,6.84,DEFAULT,2026-04-03,2024-05-01,Cedar Capital
LN-00195,BR-00195,93115.34,17.76,DEFAULT,2025-02-05,2025-07-17,Apex Loan Services
LN-00263,BR-00263,6387.25,21.97,CURRENT,2026-04-02,2025-04-02,BlueRiver Finance
LN-00369,BR-00369,12352.25,12.09,DELINQUENT,2026-06-25,2025-03-07,BlueRiver Finance
LN-01626,BR-00026,,13.29,CURRENT,2026-02-19,2025-03-10,NorthStar Servicing
LN-01109,BR-01109,28756.97,18.99,CURRENT,2026-01-14,2024-11-28,BlueRiver Finance
LN-01925,BR-00325,38659.05,12.34,CURRENT,2025-11-02,2026-06-07,NorthStar Servicing
LN-00530,BR-00530,0,5.9,CURRENT,2026-01-07,2025-01-15,Apex Loan Services
LN-00158,BR-00158,1606.63,11.71,CURRENT,2025-08-23,2026-03-13,BlueRiver Finance
LN-01704,BR-00104,44459.76,18.75,CURRENT,2025-06-21,2024-06-29,BlueRiver Finance
LN-01268,BR-01268,40121.75,19.48,DELINQUENT,2021-09-20,2025-04-09,BlueRiver Finance
LN-00791,BR-00791,57899.75,14.52,CURRENT,2022-04-12,2026-02-07,Cedar Capital
LN-00065,BR-00065,-2827.18,18.07,CURRENT,2026-04-30,2026-08-11,Apex Loan Services
LN-00130,BR-00130,,14.07,CLOSED,2022-09-07,2025-08-31,Apex Loan Services
LN-01961,BR-00361,99272.01,9.91,CURRENT,2026-07-11,2024-12-13,BlueRiver Finance
LN-01042,BR-01042,62636.58,9.12,CURRENT,2026-03-18,2026-07-14,Apex Loan Services
LN-01383,BR-01383,183099.97,21.21,DEFAULT,2024-07-25,2025-09-04,Cedar Capital
LN-01094,BR-01094,2783.79,6.45,CLOSED,2026-03-05,2025-09-17,BlueRiver Finance
LN-01836,BR-00236,492.54,6.41,CURRENT,2022-02-13,2025-01-14,NorthStar Servicing
LN-00654,BR-00654,,7.6,CLOSED,2023-12-15,2025-12-22,BlueRiver Finance
LN-00681,BR-00681,12354.43,11.82,CURRENT,2023-08-14,2026-08-20,NorthStar Servicing
LN-00206,BR-00206,291111.32,16.92,DELINQUENT,2024-10-06,2025-09-13,BlueRiver Finance
LN-01660,BR-00060,7428.61,4.76,CURRENT,2026-04-22,2026-03-07,BlueRiver Finance
LN-00364,BR-00364,11326.45,20.34,CLOSED,2024-12-04,2025-10-18,Apex Loan Services
LN-00492,BR-00492,44315.54,21.18,CURRENT,2025-10-07,2025-08-21,Cedar Capital
LN-00765,BR-00765,,21.92,CURRENT,2023-03-09,2025-04-06,BlueRiver Finance
LN-00514,BR-00514,2748.39,15.32,CURRENT,2026-01-05,2024-05-03,Apex Loan Services
LN-01822,BR-00222,0,9.22,CLOSED,2025-02-13,2025-07-28,BlueRiver Finance
LN-01916,BR-00316,17594.34,15.94,CURRENT,2026-05-25,2025-12-23,NorthStar Servicing
LN-00596,BR-00596,,10.09,CURRENT,2023-10-20,2025-12-10,BlueRiver Finance
LN-00534,BR-00534,4033.62,15.38,CURRENT,2025-08-11,2025-04-06,BlueRiver Finance
