loan_id,borrower_id,loan_type,origination_date,maturity_date,original_principal,current_balance,interest_rate,term_months,borrower_state,loan_purpose,credit_grade,employment_length,income_band,payment_status,days_past_due,servicer_name,last_payment_date,last_updated_at,document_status,source_system
,BR-00011,HOME,2025-10-21,2035-10-21,25000,22357.81,19.13,120,FL,HOME_IMPROVEMENT,B,1,75K-100K,CURRENT,0,BlueRiver Finance,2026-02-06,2026-02-22,EXPIRED,ORIGINATION
,BR-00012,HOME,2023-03-21,2053-03-21,25000,10319.73,20.41,360,FL,HOME_PURCHASE,E,3,50K-75K,CURRENT,0,Cedar Capital,2025-03-18,2026-03-15,AVAILABLE,API_IMPORT
,BR-00013,PERSONAL,2020-03-17,2027-03-17,5000,2218.64,21.96,84,FL,DEBT_CONSOLIDATION,A,3,100K-150K,CURRENT,0,BlueRiver Finance,2020-08-02,2025-03-08,AVAILABLE,API_IMPORT
,BR-00014,AUTO,2021-01-31,2041-01-31,10000,1526.13,14.63,240,MD,VEHICLE_PURCHASE,A,5,<30K,DELINQUENT,90,BlueRiver Finance,2023-11-08,2026-02-15,AVAILABLE,ORIGINATION
,BR-00015,PERSONAL,2024-09-26,2029-09-26,250000,243754.14,4.7,60,TN,HOME_IMPROVEMENT,E,10,75K-100K,DELINQUENT,15,Apex Loan Services,2026-03-11,2025-05-08,AVAILABLE,ORIGINATION
,BR-00016,HOME,2022-03-09,2042-03-09,50000,6725.12,17.05,240,CO,HOME_IMPROVEMENT,D,20,30K-50K,CURRENT,0,BlueRiver Finance,2025-11-14,2025-08-22,AVAILABLE,ORIGINATION
,BR-00017,EDUCATION,2025-09-27,2032-09-26,75000,66604.2,15.66,84,MN,EDUCATION_EXPENSE,D,3,75K-100K,CURRENT,0,BlueRiver Finance,2026-03-14,2025-12-12,PENDING,ORIGINATION
,BR-00018,PERSONAL,2022-02-18,2042-02-18,150000,66435.77,10.0,240,VA,MEDICAL,E,1,75K-100K,DEFAULT,120,BlueRiver Finance,2024-12-17,2025-05-03,AVAILABLE,SERVICING
LN-00001,BR-00019,BUSINESS,2021-12-01,2023-12-01,500000,258935.59,10.21,24,TN,EXPANSION,D,15,50K-75K,CURRENT,0,Cedar Capital,2026-04-25,2025-01-25,AVAILABLE,SERVICING
LN-00001,BR-00020,AUTO,2023-03-20,2038-03-20,100000,2403.96,13.25,180,MD,VEHICLE_REFINANCE,B,10,<30K,CURRENT,0,BlueRiver Finance,2025-11-13,2026-05-25,AVAILABLE,SERVICING
LN-00001,BR-00021,EDUCATION,2023-09-01,2030-08-31,250000,225538.33,13.57,84,AZ,EDUCATION_EXPENSE,E,1,<30K,CURRENT,0,NorthStar Servicing,2024-07-17,2025-02-27,AVAILABLE,SERVICING
LN-00001,BR-00022,BUSINESS,2022-12-22,2024-12-21,100000,73960.71,13.08,24,NY,EXPANSION,E,2,75K-100K,CURRENT,0,Cedar Capital,2025-04-01,2026-03-08,PENDING,API_IMPORT
LN-00001,BR-00023,AUTO,2023-10-08,2025-10-07,250000,1307.27,5.4,24,GA,VEHICLE_PURCHASE,B,5,<30K,DEFAULT,120,BlueRiver Finance,2025-05-28,2025-07-29,PENDING,SERVICING
LN-00001,BR-00024,PERSONAL,2022-03-03,2042-03-03,15000,12054.22,8.29,240,NC,HOME_IMPROVEMENT,D,20,100K-150K,CURRENT,0,NorthStar Servicing,2026-04-20,2026-05-04,AVAILABLE,ORIGINATION
LN-00001,BR-00025,EDUCATION,2020-09-26,2022-09-26,250000,220565.32,13.96,24,MD,TUITION,A,15,<30K,DEFAULT,120,Cedar Capital,2026-03-18,2025-06-22,AVAILABLE,SERVICING
LN-00001,BR-00026,AUTO,2021-07-11,2025-07-11,150000,141973.63,14.25,48,NC,VEHICLE_PURCHASE,B,10,30K-50K,DELINQUENT,30,NorthStar Servicing,2026-07-22,2026-08-05,PENDING,SERVICING
LN-00027,BR-00002,PERSONAL,2019-05-11,2026-04-12,100000,81185.63,14.55,72,CA,HOME_IMPROVEMENT,B,3,150K+,CURRENT,0,Cedar Capital,2026-06-01,2025-06-14,AVAILABLE,ORIGINATION
LN-00028,BR-00002,PERSONAL,2019-05-11,2024-07-06,100000,4700.76,10.36,36,FL,DEBT_CONSOLIDATION,A,20,50K-75K,CURRENT,0,Cedar Capital,2021-10-12,2025-08-20,AVAILABLE,API_IMPORT
LN-00029,BR-00002,BUSINESS,2019-05-11,2028-03-22,100000,8003.9,7.13,84,CA,WORKING_CAPITAL,E,20,100K-150K,CURRENT,0,NorthStar Servicing,2023-11-28,2025-01-26,AVAILABLE,ORIGINATION
LN-00030,BR-00002,BUSINESS,2019-05-11,2025-12-08,100000,2264.0,6.2,72,NJ,EQUIPMENT,D,10,30K-50K,CURRENT,0,NorthStar Servicing,2025-05-22,2025-02-12,PENDING,API_IMPORT
LN-00031,BR-00002,EDUCATION,2019-05-11,2026-10-06,100000,253734.17,14.12,12,MN,TUITION,A,20,30K-50K,CURRENT,0,NorthStar Servicing,2026-06-19,2025-11-02,AVAILABLE,API_IMPORT
LN-00032,BR-00002,BUSINESS,2019-05-11,2030-02-05,100000,44058.22,13.98,120,TX,EXPANSION,B,3,30K-50K,CURRENT,0,Cedar Capital,2024-03-19,2025-01-12,PENDING,SERVICING
LN-00033,BR-00002,AUTO,2019-05-11,2025-12-28,100000,110709.04,5.46,48,TX,VEHICLE_REFINANCE,B,3,100K-150K,CURRENT,0,NorthStar Servicing,2024-07-11,2026-03-23,EXPIRED,SERVICING
LN-00034,BR-00002,EDUCATION,2019-05-11,2026-05-18,100000,51977.56,6.93,84,FL,TUITION,A,1,100K-150K,CURRENT,0,BlueRiver Finance,2020-09-30,2025-01-01,AVAILABLE,SERVICING
LN-00035,BR-00035,PERSONAL,31/02/2025,2023-11-17,15000,2202.55,21.91,24,PA,DEBT_CONSOLIDATION,D,15,150K+,CURRENT,0,BlueRiver Finance,2025-02-05,2025-09-05,AVAILABLE,API_IMPORT
LN-00036,BR-00036,HOME,31/02/2025,2025-04-11,5000,2806.93,19.52,12,MD,HOME_PURCHASE,B,2,30K-50K,CURRENT,0,Cedar Capital,2026-01-23,2025-10-16,AVAILABLE,API_IMPORT
LN-00037,BR-00037,BUSINESS,31/02/2025,2032-09-01,10000,3370.59,21.84,84,NJ,EQUIPMENT,C,2,100K-150K,DEFAULT,180,BlueRiver Finance,2025-11-10,2026-03-22,AVAILABLE,ORIGINATION
LN-00038,BR-00038,EDUCATION,31/02/2025,2022-11-04,5000,1555.94,7.79,24,MA,TUITION,E,2,150K+,CURRENT,0,NorthStar Servicing,2022-01-15,2025-08-08,AVAILABLE,API_IMPORT
LN-00039,BR-00039,AUTO,31/02/2025,2028-01-25,75000,21268.62,6.62,60,NY,VEHICLE_REFINANCE,A,2,150K+,CURRENT,0,Apex Loan Services,2026-03-26,2025-03-20,AVAILABLE,SERVICING
LN-00040,BR-00040,BUSINESS,31/02/2025,2022-06-27,50000,34610.58,6.65,24,CA,EXPANSION,E,3,30K-50K,CURRENT,0,Cedar Capital,2021-11-02,2026-06-19,AVAILABLE,API_IMPORT
LN-00041,BR-00041,AUTO,31/02/2025,2025-07-14,10000,5118.11,7.5,60,MD,VEHICLE_REFINANCE,B,1,150K+,DEFAULT,120,NorthStar Servicing,2021-08-08,2026-02-22,AVAILABLE,API_IMPORT
LN-00042,BR-00042,PERSONAL,31/02/2025,2023-09-06,75000,66180.82,10.88,12,NC,HOME_IMPROVEMENT,A,2,150K+,CURRENT,0,Cedar Capital,2025-06-18,2025-12-18,PENDING,ORIGINATION
LN-00043,BR-00043,BUSINESS,2020-05-30,2018-01-01,500000,33894.08,6.4,36,CA,EXPANSION,D,10,50K-75K,CURRENT,0,NorthStar Servicing,2022-07-28,2026-07-28,EXPIRED,ORIGINATION
LN-00044,BR-00044,AUTO,2021-09-08,2018-01-01,500000,183039.11,11.98,240,MA,VEHICLE_PURCHASE,A,1,75K-100K,CURRENT,0,Apex Loan Services,2023-07-20,2025-11-12,AVAILABLE,API_IMPORT
LN-00045,BR-00045,EDUCATION,2022-01-31,2018-01-01,15000,9826.97,17.77,180,CO,TUITION,E,5,75K-100K,CURRENT,0,Cedar Capital,2025-10-18,2026-07-15,AVAILABLE,API_IMPORT
LN-00046,BR-00046,AUTO,2025-07-29,2018-01-01,15000,2157.59,7.41,36,TN,VEHICLE_REFINANCE,C,10,100K-150K,DEFAULT,90,Apex Loan Services,2025-11-20,2026-06-19,AVAILABLE,SERVICING
LN-00047,BR-00047,AUTO,2020-12-26,2018-01-01,75000,43028.71,12.7,72,NC,VEHICLE_REFINANCE,E,2,100K-150K,DELINQUENT,180,Cedar Capital,2022-10-12,2026-01-21,AVAILABLE,API_IMPORT
LN-00048,BR-00048,PERSONAL,2020-11-26,2018-01-01,15000,6489.94,4.54,84,MD,DEBT_CONSOLIDATION,D,5,50K-75K,CURRENT,0,BlueRiver Finance,2025-07-24,2025-07-27,AVAILABLE,SERVICING
LN-00049,BR-00049,AUTO,2024-10-31,2018-01-01,150000,6992.57,5.56,180,FL,VEHICLE_REFINANCE,A,1,75K-100K,CURRENT,0,NorthStar Servicing,2025-02-13,2026-07-28,PENDING,ORIGINATION
LN-00050,BR-00050,BUSINESS,2024-05-14,2018-01-01,250000,78119.79,9.89,24,WA,EXPANSION,C,20,75K-100K,CURRENT,0,BlueRiver Finance,2026-06-25,2025-01-05,MISSING,SERVICING
LN-00051,BR-00051,HOME,2022-01-09,2023-01-09,-50000,8578.43,21.89,12,AZ,HOME_REFINANCE,E,2,75K-100K,CURRENT,0,BlueRiver Finance,2024-05-17,2025-05-29,AVAILABLE,SERVICING
LN-00052,BR-00052,PERSONAL,2021-07-27,2026-07-27,-500000,34623.21,4.98,60,CO,HOME_IMPROVEMENT,C,2,150K+,DELINQUENT,60,Cedar Capital,2025-09-13,2026-03-21,AVAILABLE,ORIGINATION
LN-00053,BR-00053,BUSINESS,2025-01-27,2032-01-27,-25000,23135.72,6.45,84,NY,EXPANSION,A,7,75K-100K,CURRENT,0,NorthStar Servicing,2026-03-19,2025-07-12,AVAILABLE,SERVICING
LN-00054,BR-00054,AUTO,2024-01-17,2039-01-17,-50000,43394.59,6.8,180,AZ,VEHICLE_PURCHASE,B,10,50K-75K,CURRENT,0,Cedar Capital,2024-08-23,2025-01-03,AVAILABLE,SERVICING
LN-00055,BR-00055,AUTO,2025-08-05,2040-08-05,-250000,45184.09,15.44,180,MI,VEHICLE_REFINANCE,B,5,75K-100K,CURRENT,0,Cedar Capital,2025-11-04,2026-06-25,AVAILABLE,ORIGINATION
LN-00056,BR-00056,PERSONAL,2020-03-27,2021-03-27,-50000,40465.88,14.14,12,AZ,MEDICAL,B,15,30K-50K,DELINQUENT,120,NorthStar Servicing,2024-10-28,2026-01-19,EXPIRED,SERVICING
LN-00057,BR-00057,AUTO,2025-01-07,2029-01-07,-15000,13107.51,6.2,48,FL,VEHICLE_REFINANCE,D,20,150K+,CURRENT,0,Apex Loan Services,2025-07-30,2025-08-17,AVAILABLE,ORIGINATION
LN-00058,BR-00058,BUSINESS,2020-03-19,2026-03-19,-75000,69359.19,20.32,72,FL,EQUIPMENT,B,5,<30K,DEFAULT,90,Apex Loan Services,2021-05-11,2025-04-13,AVAILABLE,SERVICING
LN-00059,BR-00059,PERSONAL,2025-08-20,2040-08-20,10000,-1283.51,21.99,180,IL,MEDICAL,C,7,30K-50K,DELINQUENT,60,Cedar Capital,2026-04-18,2026-02-14,AVAILABLE,SERVICING
LN-00060,BR-00060,HOME,2022-04-15,2026-04-15,15000,-7588.02,10.74,48,GA,HOME_IMPROVEMENT,B,10,100K-150K,CURRENT,0,Cedar Capital,2026-06-09,2025-08-31,EXPIRED,API_IMPORT
LN-00061,BR-00061,HOME,2023-07-11,2029-07-10,250000,-135725.1,6.75,72,OR,HOME_IMPROVEMENT,B,20,100K-150K,DELINQUENT,180,NorthStar Servicing,2025-05-09,2025-08-09,AVAILABLE,ORIGINATION
LN-00062,BR-00062,PERSONAL,2023-06-10,2028-06-09,250000,-25312.52,7.42,60,AZ,HOME_IMPROVEMENT,E,2,50K-75K,CURRENT,0,BlueRiver Finance,2025-09-14,2025-03-13,AVAILABLE,API_IMPORT
LN-00063,BR-00063,BUSINESS,2024-09-21,2025-09-21,250000,-1000,21.45,12,GA,WORKING_CAPITAL,C,10,100K-150K,CLOSED,0,NorthStar Servicing,2025-02-21,2025-11-28,AVAILABLE,ORIGINATION
LN-00064,BR-00064,EDUCATION,2022-03-12,2028-03-11,500000,-352047.38,11.2,72,AZ,TUITION,B,1,50K-75K,CURRENT,0,BlueRiver Finance,2024-04-12,2025-05-05,AVAILABLE,SERVICING
LN-00065,BR-00065,AUTO,2025-08-17,2027-08-17,25000,-2827.18,18.07,24,VA,VEHICLE_REFINANCE,E,7,100K-150K,CURRENT,0,Apex Loan Services,2026-04-30,2026-08-11,MISSING,API_IMPORT
LN-00066,BR-00066,EDUCATION,2023-04-21,2025-04-20,50000,-19727.68,16.77,24,MA,TUITION,C,7,30K-50K,CURRENT,0,BlueRiver Finance,2026-07-07,2026-01-06,AVAILABLE,API_IMPORT
LN-00067,BR-00067,EDUCATION,2019-06-10,2039-06-10,25000,30000,21.19,240,MA,TUITION,B,20,100K-150K,CURRENT,0,Apex Loan Services,2026-07-06,2025-02-02,AVAILABLE,API_IMPORT
LN-00068,BR-00068,PERSONAL,2021-01-12,2022-01-12,10000,15000,10.48,12,TX,MEDICAL,B,10,150K+,DELINQUENT,30,BlueRiver Finance,2022-04-13,2025-11-29,AVAILABLE,API_IMPORT
LN-00069,BR-00069,AUTO,2019-05-03,2022-05-02,500000,505000,14.04,36,NC,VEHICLE_REFINANCE,E,7,150K+,CURRENT,0,BlueRiver Finance,2026-06-06,2026-07-05,AVAILABLE,ORIGINATION
LN-00070,BR-00070,EDUCATION,2019-01-12,2039-01-12,5000,10000,18.1,240,IL,TUITION,D,5,100K-150K,CURRENT,0,NorthStar Servicing,2020-09-05,2026-03-14,AVAILABLE,SERVICING
LN-00071,BR-00071,PERSONAL,2022-06-27,2027-06-27,250000,255000,20.51,60,FL,DEBT_CONSOLIDATION,D,15,<30K,CURRENT,0,Cedar Capital,2022-11-26,2025-01-18,AVAILABLE,API_IMPORT
LN-00072,BR-00072,HOME,2020-12-02,2030-12-02,100000,105000,20.68,120,MN,HOME_REFINANCE,A,1,75K-100K,DEFAULT,180,NorthStar Servicing,2021-09-19,2025-10-07,AVAILABLE,API_IMPORT
LN-00073,BR-00073,AUTO,2024-04-08,2039-04-09,50000,55000,12.28,180,NC,VEHICLE_REFINANCE,B,20,50K-75K,CURRENT,0,BlueRiver Finance,2024-05-20,2025-12-20,AVAILABLE,SERVICING
LN-00074,BR-00074,EDUCATION,2023-05-19,2030-05-18,5000,10000,12.2,84,TN,TUITION,B,2,150K+,CURRENT,0,Apex Loan Services,2023-08-14,2026-04-04,EXPIRED,API_IMPORT
LN-00075,BR-00075,HOME,2023-02-05,2053-02-05,100000,93614.43,125.0,360,IL,HOME_IMPROVEMENT,D,3,150K+,CURRENT,0,Apex Loan Services,2026-06-01,2026-07-26,AVAILABLE,API_IMPORT
LN-00076,BR-00076,AUTO,2022-01-16,2024-01-16,500000,395108.61,125.0,24,TX,VEHICLE_REFINANCE,E,20,75K-100K,CURRENT,0,NorthStar Servicing,2026-02-03,2025-03-08,AVAILABLE,SERVICING
LN-00077,BR-00077,EDUCATION,2025-09-30,2055-10-01,150000,55286.19,125.0,360,VA,EDUCATION_EXPENSE,D,5,75K-100K,CURRENT,0,NorthStar Servicing,2026-02-03,2026-06-13,AVAILABLE,SERVICING
LN-00078,BR-00078,AUTO,2020-04-05,2035-04-06,25000,23987.99,125.0,180,MI,VEHICLE_PURCHASE,D,3,50K-75K,CURRENT,0,BlueRiver Finance,2023-02-23,2025-08-12,AVAILABLE,API_IMPORT
LN-00079,BR-00079,AUTO,2020-08-26,2030-08-26,5000,3898.43,125.0,120,MA,VEHICLE_REFINANCE,E,15,100K-150K,CURRENT,0,Cedar Capital,2025-11-05,2025-09-24,AVAILABLE,API_IMPORT
LN-00080,BR-00080,EDUCATION,2024-03-22,2031-03-22,100000,45308.82,125.0,84,OR,TUITION,A,10,75K-100K,CURRENT,0,BlueRiver Finance,2024-09-15,2026-02-28,MISSING,API_IMPORT
LN-00081,BR-00081,EDUCATION,2020-01-10,2023-01-09,150000,34757.14,125.0,36,VA,EDUCATION_EXPENSE,A,10,<30K,CURRENT,0,Cedar Capital,2025-01-30,2025-11-07,AVAILABLE,API_IMPORT
LN-00082,BR-00082,EDUCATION,2023-03-18,2026-03-17,500000,258821.74,125.0,36,CA,TUITION,B,2,150K+,CURRENT,0,NorthStar Servicing,2025-12-28,2025-02-22,AVAILABLE,ORIGINATION
LN-00083,BR-00083,PERSONAL,2022-11-25,2027-11-25,75000,6984.79,14.58,60,CA,DEBT_CONSOLIDATION,D,1,<30K,CURRENT,90,NorthStar Servicing,2024-01-05,2025-03-14,AVAILABLE,ORIGINATION
LN-00084,BR-00084,BUSINESS,2025-10-22,2026-10-22,250000,146503.99,19.14,12,VA,EQUIPMENT,E,3,150K+,CURRENT,90,Cedar Capital,2026-06-10,2026-06-08,AVAILABLE,ORIGINATION
LN-00085,BR-00085,BUSINESS,2025-05-13,2028-05-12,15000,1418.27,19.53,36,FL,WORKING_CAPITAL,D,2,75K-100K,CURRENT,90,Cedar Capital,2025-09-15,2026-08-07,PENDING,SERVICING
LN-00086,BR-00086,PERSONAL,2020-12-19,2024-12-19,15000,5940.07,14.82,48,NJ,MEDICAL,A,3,75K-100K,CURRENT,90,Cedar Capital,2024-11-09,2026-01-13,AVAILABLE,SERVICING
LN-00087,BR-00087,AUTO,2021-03-03,2023-03-03,15000,587.53,4.69,24,CA,VEHICLE_REFINANCE,E,7,150K+,CURRENT,90,Cedar Capital,2024-06-13,2025-08-22,AVAILABLE,API_IMPORT
LN-00088,BR-00088,AUTO,2025-07-12,2028-07-11,500000,136476.47,7.6,36,TN,VEHICLE_PURCHASE,B,3,100K-150K,CURRENT,90,Cedar Capital,2026-02-04,2025-11-29,AVAILABLE,ORIGINATION
LN-00089,BR-00089,BUSINESS,2025-05-15,2055-05-16,250000,204715.47,7.41,360,MD,WORKING_CAPITAL,E,2,30K-50K,CURRENT,90,NorthStar Servicing,2025-07-07,2025-08-04,AVAILABLE,SERVICING
LN-00090,BR-00090,BUSINESS,2024-12-16,2044-12-16,100000,60630.77,9.46,240,CA,WORKING_CAPITAL,A,7,30K-50K,CURRENT,90,BlueRiver Finance,2026-01-08,2026-04-09,AVAILABLE,ORIGINATION
LN-00091,BR-00091,AUTO,2021-02-10,2022-02-10,50000,17001.77,14.0,12,MA,VEHICLE_REFINANCE,E,10,150K+,CURRENT,0,Apex Loan Services,2023-08-12,2025-10-26,,API_IMPORT
LN-00092,BR-00092,PERSONAL,2023-04-29,2038-04-29,10000,6779.16,5.03,180,OH,HOME_IMPROVEMENT,C,2,50K-75K,CURRENT,0,Cedar Capital,2024-06-27,2026-06-20,,ORIGINATION
LN-00093,BR-00093,EDUCATION,2021-04-04,2027-04-04,500000,438682.66,14.36,72,MD,EDUCATION_EXPENSE,B,15,50K-75K,DEFAULT,180,BlueRiver Finance,2024-01-07,2026-06-17,,ORIGINATION
LN-00094,BR-00094,PERSONAL,2019-06-23,2049-06-23,75000,63180.38,13.52,360,PA,MEDICAL,D,1,100K-150K,DEFAULT,180,Apex Loan Services,2021-09-01,2025-08-04,,API_IMPORT
LN-00095,BR-00095,BUSINESS,2019-06-12,2023-06-12,75000,35293.42,14.34,48,GA,EQUIPMENT,B,5,50K-75K,CURRENT,0,BlueRiver Finance,2021-03-20,2025-09-23,,SERVICING
LN-00096,BR-00096,EDUCATION,2023-02-12,2027-02-12,250000,211990.24,16.93,48,VA,TUITION,E,1,50K-75K,CURRENT,0,BlueRiver Finance,2024-01-24,2025-06-03,,ORIGINATION
LN-00097,BR-00097,HOME,2020-08-09,2025-08-09,100000,63621.5,21.88,60,TX,HOME_PURCHASE,B,20,100K-150K,CURRENT,0,BlueRiver Finance,2025-02-25,2025-12-04,,SERVICING
LN-00098,BR-00098,PERSONAL,2020-05-18,2025-05-18,75000,41959.01,7.23,60,OR,DEBT_CONSOLIDATION,D,2,75K-100K,DELINQUENT,180,Apex Loan Services,2021-10-21,2026-01-09,,ORIGINATION
LN-00099,BR-00099,HOME,2022-07-31,2024-07-30,150000,135635.06,16.81,24,IL,HOME_REFINANCE,D,5,<30K,CURRENT,0,NorthStar Servicing,2023-01-20,2023-01-15,AVAILABLE,SERVICING
LN-00100,BR-00100,PERSONAL,2025-10-09,2028-10-08,150000,71801.09,13.65,36,NJ,DEBT_CONSOLIDATION,D,15,50K-75K,DEFAULT,120,NorthStar Servicing,2026-08-01,2023-01-15,AVAILABLE,ORIGINATION
LN-00101,BR-00101,EDUCATION,2021-07-12,2022-07-12,250000,207168.04,8.42,12,MI,TUITION,D,7,<30K,CURRENT,0,Apex Loan Services,2021-12-25,2023-01-15,AVAILABLE,SERVICING
LN-00102,BR-00102,HOME,2019-09-25,2039-09-25,25000,1605.47,10.62,240,NJ,HOME_IMPROVEMENT,E,15,50K-75K,CURRENT,0,Cedar Capital,2021-12-09,2023-01-15,AVAILABLE,API_IMPORT
LN-00103,BR-00103,BUSINESS,2024-11-01,2054-11-02,50000,6683.52,20.1,360,OH,EXPANSION,A,1,50K-75K,CURRENT,0,BlueRiver Finance,2025-09-04,2023-01-15,PENDING,SERVICING
LN-00104,BR-00104,BUSINESS,2022-11-29,2024-11-28,15000,10886.09,7.46,24,TN,EXPANSION,D,3,<30K,CURRENT,0,Cedar Capital,2024-08-07,2023-01-15,AVAILABLE,API_IMPORT
LN-00105,BR-00105,HOME,2025-12-01,2028-11-30,75000,0,7.49,36,MA,HOME_PURCHASE,A,20,<30K,CLOSED,0,Cedar Capital,2026-01-22,2023-01-15,AVAILABLE,SERVICING
LN-00106,BR-00106,PERSONAL,2024-04-22,2054-04-23,100000,31718.09,18.36,360,PA,DEBT_CONSOLIDATION,D,1,100K-150K,CURRENT,0,BlueRiver Finance,2026-04-07,2023-01-15,AVAILABLE,SERVICING
LN-00107,BR-00107,HOME,2020-10-05,2021-10-05,75000,18216.23,19.71,12,XX,HOME_PURCHASE,C,7,75K-100K,CURRENT,0,Apex Loan Services,2024-03-04,2025-04-24,AVAILABLE,ORIGINATION
LN-00108,BR-00108,PERSONAL,2022-08-04,2027-08-04,15000,14234.65,10.11,60,XX,HOME_IMPROVEMENT,E,3,<30K,CURRENT,0,Apex Loan Services,2023-05-15,2025-03-10,PENDING,SERVICING
LN-00109,BR-00109,EDUCATION,2025-05-31,2031-05-31,5000,4129.76,6.28,72,XX,TUITION,C,1,75K-100K,CURRENT,0,BlueRiver Finance,2026-02-28,2025-08-24,AVAILABLE,ORIGINATION
LN-00110,BR-00110,BUSINESS,2024-08-20,2025-08-20,25000,17050.83,20.67,12,XX,EQUIPMENT,B,2,100K-150K,CURRENT,0,NorthStar Servicing,2026-06-09,2026-05-06,EXPIRED,ORIGINATION
LN-00111,BR-00111,HOME,2024-09-12,2034-09-12,50000,3583.88,13.0,120,XX,HOME_REFINANCE,E,3,100K-150K,CURRENT,0,Cedar Capital,2025-04-04,2026-03-29,AVAILABLE,SERVICING
LN-00112,BR-00112,HOME,2020-03-15,2030-03-15,100000,48687.48,10.49,120,XX,HOME_IMPROVEMENT,E,15,30K-50K,DELINQUENT,180,Apex Loan Services,2022-08-03,2025-08-18,AVAILABLE,SERVICING
LN-00113,BR-00113,HOME,2023-09-04,2024-09-03,15000,2342.39,21.8,12,XX,HOME_IMPROVEMENT,E,3,<30K,CURRENT,0,Cedar Capital,2025-05-25,2025-02-09,MISSING,API_IMPORT
LN-00114,BR-00114,PERSONAL,2019-07-06,2022-07-05,50000,38625.18,11.05,36,XX,MEDICAL,E,3,30K-50K,CURRENT,0,Apex Loan Services,2025-06-14,2025-10-21,AVAILABLE,ORIGINATION
LN-00115,BR-00003,BUSINESS,2020-02-14,2021-02-13,250000,135636.4,21.7,12,GA,WORKING_CAPITAL,C,10,150K+,CURRENT,0,NorthStar Servicing,2021-02-06,2026-03-07,AVAILABLE,API_IMPORT
LN-00116,BR-00003,AUTO,2025-08-12,2035-08-12,5000,4126.46,13.22,120,NJ,VEHICLE_REFINANCE,B,2,30K-50K,CURRENT,0,Apex Loan Services,2026-04-25,2026-02-10,AVAILABLE,API_IMPORT
LN-00117,BR-00003,HOME,2021-01-31,2031-01-31,500000,305510.96,20.91,120,IL,HOME_IMPROVEMENT,D,10,75K-100K,CURRENT,0,Cedar Capital,2022-01-05,2026-03-11,EXPIRED,ORIGINATION
LN-00118,BR-00003,EDUCATION,2024-01-21,2030-01-20,500000,201629.39,7.06,72,CA,EDUCATION_EXPENSE,C,1,150K+,CURRENT,0,BlueRiver Finance,2025-08-17,2026-07-23,AVAILABLE,API_IMPORT
LN-00119,BR-00003,PERSONAL,2020-01-31,2021-01-30,500000,188838.66,9.16,12,WA,DEBT_CONSOLIDATION,C,15,50K-75K,CURRENT,0,Cedar Capital,2026-04-06,2025-11-22,AVAILABLE,ORIGINATION
